States/UTs,Hit & Run - Total Accdents,Hit & Run - Persons Killed,Hit & Run - Persons Greviously Injured,Hit & Run - Persons Minor Injured,Pedestrian - Total Accdents,Pedestrian - Persons Killed,Pedestrian - Persons Greviously Injured,Pedestrian - Persons Minor Injured,Hit from Back - Total Accdents,Hit from Back - Persons Killed,Hit from Back - Persons Greviously Injured,Hit from Back - Persons Minor Injured,Hit from side - Total Accdents,Hit from side - Persons Killed,Hit from side - Persons Greviously Injured,Hit from side - Persons Minor Injured,Run Off Road - Total Accdents,Run Off Road - Persons Killed,Run Off Road - Persons Greviously Injured,Run Off Road - Persons Minor Injured,With Animal - Total Accdents,With Animal - Persons Killed,With Animal - Persons Greviously Injured,With Animal - Persons Minor Injured,Fixed Object - Total Accdents,Fixed Object - Persons Killed,Fixed Object - Persons Greviously Injured,Fixed Object - Persons Minor Injured,With Parked Vehicle - Total Accdents,With Parked Vehicle - Persons Killed,With Parked Vehicle - Persons Greviously Injured,With Parked Vehicle - Persons Minor Injured
Andhra Pradesh,1273,649,311,661,3646,1398,907,2079,4014,1187,1308,3294,1772,501,748,1359,778,313,195,752,203,79,47,228,1021,430,354,731,601,175,118,685
Arunachal Pradesh,29,6,11,7,8,4,8,5,16,7,19,6,12,6,17,5,18,5,14,3,0,0,0,0,16,10,17,10,26,13,18,9
Assam,1515,666,1078,218,1277,538,673,122,1086,460,883,190,630,188,458,127,418,124,333,81,66,26,59,18,182,79,128,65,362,107,221,51
Bihar,3370,2237,1523,634,1134,769,441,148,846,474,463,171,835,514,425,223,463,275,279,56,108,46,57,54,216,97,109,54,160,86,76,30
Chhattisgarh,1949,630,287,1265,605,181,102,441,1888,427,222,1252,1332,266,175,1001,725,174,130,610,107,36,32,47,577,207,100,441,154,54,46,98
Goa,86,17,13,26,164,47,38,51,705,59,48,275,1010,52,104,471,164,22,15,34,3,2,0,2,307,27,8,84,21,3,0,3
Gujarat,7337,2742,2744,2927,1920,798,867,579,3318,1212,1650,1600,2263,784,1089,1081,578,188,247,234,420,171,191,216,548,256,338,300,562,244,314,290
Haryana,2817,1256,411,2238,2159,1087,543,1262,616,216,126,471,479,177,79,372,207,88,104,117,33,15,6,29,352,120,67,274,216,77,39,149
Himachal Pradesh,672,159,259,479,406,101,169,240,136,38,54,138,244,48,119,268,640,563,303,1294,6,3,1,3,104,44,40,178,71,13,22,74
Jammu & Kashmir,221,54,82,161,616,111,201,514,138,17,24,191,106,13,50,123,144,46,126,154,11,2,0,3,81,4,24,104,9,1,9,6
Jharkhand,927,775,613,101,473,356,322,77,486,388,414,85,329,235,293,83,382,231,266,68,480,67,125,72,76,93,91,31,78,93,109,17
Karnataka,2911,853,1654,1498,4312,1054,2231,2140,16983,4588,8713,12848,5936,1207,3104,4343,1242,252,648,914,204,46,105,121,738,169,406,525,632,108,345,409
Kerala,333,43,317,303,10207,1332,7760,1990,4933,457,3734,2107,1866,185,1745,838,32,7,31,21,0,0,0,0,268,78,145,134,216,20,279,82
Madhya Pradesh,11690,2437,1272,12206,3517,671,382,3178,6791,1143,1095,5808,3859,565,410,3580,642,188,96,586,258,68,27,183,943,151,101,885,578,62,56,496
Maharashtra,6160,2324,3256,2082,5521,1626,2972,1324,5601,1810,3048,1795,3167,837,1682,1120,301,72,180,140,68,13,31,13,937,324,491,426,290,39,213,143
Manipur,16,9,2,12,44,15,7,51,83,12,23,142,117,21,32,146,4,2,9,0,1,0,2,0,20,0,0,30,3,1,10,11
Meghalaya,219,54,85,36,97,26,38,12,36,11,11,6,37,14,12,5,26,8,9,4,26,10,8,4,35,12,11,6,26,7,8,4
Mizoram,11,9,8,9,8,6,1,1,5,4,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,56,5,20,31,54,8,26,13,21,1,6,9,5,0,0,0,88,7,13,65,0,0,0,0,77,0,7,36,37,0,5,20
Orissa,2047,838,1181,1079,698,330,296,280,1472,647,888,672,1017,432,604,562,401,161,213,206,149,60,96,78,530,184,325,209,276,104,142,156
Punjab,1673,1360,777,196,482,297,205,63,967,546,676,160,781,528,391,159,237,133,109,35,227,154,98,29,155,127,70,40,259,154,150,50
Rajasthan,3528,1671,1372,2204,1547,696,408,842,3855,1656,1044,2731,1856,803,522,1329,440,228,77,366,124,62,26,97,243,136,64,158,113,55,36,92
Sikkim,9,3,3,14,25,8,9,12,2,2,0,0,7,0,8,9,72,52,78,109,0,0,0,0,12,2,3,9,4,0,4,2
Tamil Nadu,5009,1698,303,4435,13515,3507,1229,11084,10133,2114,1180,11846,7049,1656,983,7048,2197,592,155,3091,329,106,17,326,2211,651,178,2348,1087,297,151,1112
Telangana,1577,605,91,1208,3302,969,206,2427,4065,889,322,3870,1900,442,153,1851,310,125,32,357,74,30,1,77,610,249,19,585,201,91,18,199
Tripura,60,28,69,2,124,41,118,3,81,21,93,1,52,13,82,0,2,1,1,0,0,0,0,0,21,6,37,0,0,0,0,0
Uttarakhand,150,98,90,9,97,52,78,17,248,122,167,43,297,140,189,49,3,7,0,0,11,6,7,0,103,64,57,13,32,12,20,3
Uttar Pradesh,6104,3269,3055,1183,2847,1431,1388,717,4370,2060,2038,1208,3911,2024,1835,958,2057,1125,918,453,662,335,360,155,1379,692,721,288,896,431,403,221
West Bengal,1196,713,1204,219,1900,1039,1057,129,3097,1574,2041,414,558,217,382,126,305,143,270,85,36,23,30,8,123,17,57,39,132,59,98,34
A & N Islands,1,0,0,1,40,9,13,25,40,2,10,37,26,2,11,18,6,0,1,6,1,0,0,0,9,0,1,7,6,0,0,8
Chandigarh,2,0,0,1,63,27,1,38,73,28,1,66,158,40,3,140,0,0,0,0,1,0,0,0,4,1,0,4,0,0,0,0
D & N Haveli,24,17,26,0,6,2,6,2,1,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,6,6,8,0,0,0,0,0
Daman & Diu,11,6,5,2,16,9,8,1,4,2,2,1,10,3,8,5,0,0,0,0,1,0,0,0,10,7,7,4,1,0,0,0
Delhi,2100,604,274,1611,1125,254,180,956,1151,248,153,1089,811,132,112,743,48,19,9,28,0,0,0,0,133,35,34,94,52,11,22,46
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,103,31,32,58,389,87,163,215,279,23,107,191,238,23,93,183,279,40,71,175,2,0,1,45,38,5,1,25,3,0,0,0
Total,65186,25866,22428,37116,62344,18886,23053,31038,77540,22446,30569,52718,42675,12071,15922,28325,13209,5191,4932,10044,3611,1360,1327,1808,12085,4283,4019,8137,7104,2317,2932,4500
